stimulus_id,global_scale,sign,vertex4_dx_model_units,vertex6_dx_model_units
S0001,0.0,1,0.0,0.0
S0002,0.1,1,0.0,0.0
S0003,0.1,1,5.0,5.0
S0004,0.1,1,10.0,10.0
S0005,0.1,1,15.0,0.0
S0006,0.1,1,20.0,5.0
S0007,0.1,1,-5.0,-5.0
S0008,0.1,1,5.0,-5.0
S0009,0.1,1,-10.0,10.0
S0010,0.25,1,0.0,0.0
S0011,0.25,1,5.0,5.0
S0012,0.25,1,10.0,10.0
S0013,0.25,1,15.0,0.0
S0014,0.25,1,20.0,5.0
S0015,0.25,1,-5.0,-5.0
S0016,0.25,1,5.0,-5.0
S0017,0.25,1,-10.0,10.0
S0018,0.5,1,0.0,0.0
S0019,0.5,1,5.0,5.0
S0020,0.5,1,10.0,10.0
S0021,0.5,1,15.0,0.0
S0022,0.5,1,20.0,5.0
S0023,0.5,1,-5.0,-5.0
S0024,0.5,1,5.0,-5.0
S0025,0.5,1,-10.0,10.0
S0026,0.75,1,0.0,0.0
S0027,0.75,1,5.0,5.0
S0028,0.75,1,10.0,10.0
S0029,0.75,1,15.0,0.0
S0030,0.75,1,20.0,5.0
S0031,0.75,1,-5.0,-5.0
S0032,0.75,1,5.0,-5.0
S0033,0.75,1,-10.0,10.0
S0034,1.0,1,0.0,0.0
S0035,1.0,1,5.0,5.0
S0036,1.0,1,10.0,10.0
S0037,1.0,1,15.0,0.0
S0038,1.0,1,20.0,5.0
S0039,1.0,1,-5.0,-5.0
S0040,1.0,1,5.0,-5.0
S0041,1.0,1,-10.0,10.0
S0042,1.25,1,0.0,0.0
S0043,1.25,1,5.0,5.0
S0044,1.25,1,10.0,10.0
S0045,1.25,1,15.0,0.0
S0046,1.25,1,20.0,5.0
S0047,1.25,1,-5.0,-5.0
S0048,1.25,1,5.0,-5.0
S0049,1.25,1,-10.0,10.0
S0050,1.5,1,0.0,0.0
S0051,1.5,1,5.0,5.0
S0052,1.5,1,10.0,10.0
S0053,1.5,1,15.0,0.0
S0054,1.5,1,20.0,5.0
S0055,1.5,1,-5.0,-5.0
S0056,1.5,1,5.0,-5.0
S0057,1.5,1,-10.0,10.0
S0058,1.75,1,0.0,0.0
S0059,1.75,1,5.0,5.0
S0060,1.75,1,10.0,10.0
S0061,1.75,1,15.0,0.0
S0062,1.75,1,20.0,5.0
S0063,1.75,1,-5.0,-5.0
S0064,1.75,1,5.0,-5.0
S0065,1.75,1,-10.0,10.0
S0066,2.0,1,0.0,0.0
S0067,2.0,1,5.0,5.0
S0068,2.0,1,10.0,10.0
S0069,2.0,1,15.0,0.0
S0070,2.0,1,20.0,5.0
S0071,2.0,1,-5.0,-5.0
S0072,2.0,1,5.0,-5.0
S0073,2.0,1,-10.0,10.0
S0074,2.5,1,0.0,0.0
S0075,2.5,1,5.0,5.0
S0076,2.5,1,10.0,10.0
S0077,2.5,1,15.0,0.0
S0078,2.5,1,20.0,5.0
S0079,2.5,1,-5.0,-5.0
S0080,2.5,1,5.0,-5.0
S0081,2.5,1,-10.0,10.0
S0082,3.0,1,0.0,0.0
S0083,3.0,1,5.0,5.0
S0084,3.0,1,10.0,10.0
S0085,3.0,1,15.0,0.0
S0086,3.0,1,20.0,5.0
S0087,3.0,1,-5.0,-5.0
S0088,3.0,1,5.0,-5.0
S0089,3.0,1,-10.0,10.0
S0090,3.5,1,0.0,0.0
S0091,3.5,1,5.0,5.0
S0092,3.5,1,10.0,10.0
S0093,3.5,1,15.0,0.0
S0094,3.5,1,20.0,5.0
S0095,3.5,1,-5.0,-5.0
S0096,3.5,1,5.0,-5.0
S0097,3.5,1,-10.0,10.0
S0098,4.0,1,0.0,0.0
S0099,4.0,1,5.0,5.0
S0100,4.0,1,10.0,10.0
S0101,4.0,1,15.0,0.0
S0102,4.0,1,20.0,5.0
S0103,4.0,1,-5.0,-5.0
S0104,4.0,1,5.0,-5.0
S0105,4.0,1,-10.0,10.0
S0106,4.5,1,0.0,0.0
S0107,4.5,1,5.0,5.0
S0108,4.5,1,10.0,10.0
S0109,4.5,1,15.0,0.0
S0110,4.5,1,20.0,5.0
S0111,4.5,1,-5.0,-5.0
S0112,4.5,1,5.0,-5.0
S0113,4.5,1,-10.0,10.0
S0114,5.0,1,0.0,0.0
S0115,5.0,1,5.0,5.0
S0116,5.0,1,10.0,10.0
S0117,5.0,1,15.0,0.0
S0118,5.0,1,20.0,5.0
S0119,5.0,1,-5.0,-5.0
S0120,5.0,1,5.0,-5.0
S0121,5.0,1,-10.0,10.0
S0122,5.5,1,0.0,0.0
S0123,5.5,1,5.0,5.0
S0124,5.5,1,10.0,10.0
S0125,5.5,1,15.0,0.0
S0126,5.5,1,20.0,5.0
S0127,5.5,1,-5.0,-5.0
S0128,5.5,1,5.0,-5.0
S0129,5.5,1,-10.0,10.0
S0130,6.0,1,0.0,0.0
S0131,6.0,1,5.0,5.0
S0132,6.0,1,10.0,10.0
S0133,6.0,1,15.0,0.0
S0134,6.0,1,20.0,5.0
S0135,6.0,1,-5.0,-5.0
S0136,6.0,1,5.0,-5.0
S0137,6.0,1,-10.0,10.0
S0138,6.5,1,0.0,0.0
S0139,6.5,1,5.0,5.0
S0140,6.5,1,10.0,10.0
S0141,6.5,1,15.0,0.0
S0142,6.5,1,20.0,5.0
S0143,6.5,1,-5.0,-5.0
S0144,6.5,1,5.0,-5.0
S0145,6.5,1,-10.0,10.0
S0146,0.1,-1,0.0,0.0
S0147,0.1,-1,5.0,5.0
S0148,0.1,-1,10.0,10.0
S0149,0.1,-1,15.0,0.0
S0150,0.1,-1,20.0,5.0
S0151,0.1,-1,-5.0,-5.0
S0152,0.1,-1,5.0,-5.0
S0153,0.1,-1,-10.0,10.0
S0154,0.25,-1,0.0,0.0
S0155,0.25,-1,5.0,5.0
S0156,0.25,-1,10.0,10.0
S0157,0.25,-1,15.0,0.0
S0158,0.25,-1,20.0,5.0
S0159,0.25,-1,-5.0,-5.0
S0160,0.25,-1,5.0,-5.0
S0161,0.25,-1,-10.0,10.0
S0162,0.5,-1,0.0,0.0
S0163,0.5,-1,5.0,5.0
S0164,0.5,-1,10.0,10.0
S0165,0.5,-1,15.0,0.0
S0166,0.5,-1,20.0,5.0
S0167,0.5,-1,-5.0,-5.0
S0168,0.5,-1,5.0,-5.0
S0169,0.5,-1,-10.0,10.0
S0170,0.75,-1,0.0,0.0
S0171,0.75,-1,5.0,5.0
S0172,0.75,-1,10.0,10.0
S0173,0.75,-1,15.0,0.0
S0174,0.75,-1,20.0,5.0
S0175,0.75,-1,-5.0,-5.0
S0176,0.75,-1,5.0,-5.0
S0177,0.75,-1,-10.0,10.0
S0178,1.0,-1,0.0,0.0
S0179,1.0,-1,5.0,5.0
S0180,1.0,-1,10.0,10.0
S0181,1.0,-1,15.0,0.0
S0182,1.0,-1,20.0,5.0
S0183,1.0,-1,-5.0,-5.0
S0184,1.0,-1,5.0,-5.0
S0185,1.0,-1,-10.0,10.0
S0186,1.25,-1,0.0,0.0
S0187,1.25,-1,5.0,5.0
S0188,1.25,-1,10.0,10.0
S0189,1.25,-1,15.0,0.0
S0190,1.25,-1,20.0,5.0
S0191,1.25,-1,-5.0,-5.0
S0192,1.25,-1,5.0,-5.0
S0193,1.25,-1,-10.0,10.0
S0194,1.5,-1,0.0,0.0
S0195,1.5,-1,5.0,5.0
S0196,1.5,-1,10.0,10.0
S0197,1.5,-1,15.0,0.0
S0198,1.5,-1,20.0,5.0
S0199,1.5,-1,-5.0,-5.0
S0200,1.5,-1,5.0,-5.0
S0201,1.5,-1,-10.0,10.0
S0202,1.75,-1,0.0,0.0
S0203,1.75,-1,5.0,5.0
S0204,1.75,-1,10.0,10.0
S0205,1.75,-1,15.0,0.0
S0206,1.75,-1,20.0,5.0
S0207,1.75,-1,-5.0,-5.0
S0208,1.75,-1,5.0,-5.0
S0209,1.75,-1,-10.0,10.0
S0210,2.0,-1,0.0,0.0
S0211,2.0,-1,5.0,5.0
S0212,2.0,-1,10.0,10.0
S0213,2.0,-1,15.0,0.0
S0214,2.0,-1,20.0,5.0
S0215,2.0,-1,-5.0,-5.0
S0216,2.0,-1,5.0,-5.0
S0217,2.0,-1,-10.0,10.0
S0218,2.5,-1,0.0,0.0
S0219,2.5,-1,5.0,5.0
S0220,2.5,-1,10.0,10.0
S0221,2.5,-1,15.0,0.0
S0222,2.5,-1,20.0,5.0
S0223,2.5,-1,-5.0,-5.0
S0224,2.5,-1,5.0,-5.0
S0225,2.5,-1,-10.0,10.0
S0226,3.0,-1,0.0,0.0
S0227,3.0,-1,5.0,5.0
S0228,3.0,-1,10.0,10.0
S0229,3.0,-1,15.0,0.0
S0230,3.0,-1,20.0,5.0
S0231,3.0,-1,-5.0,-5.0
S0232,3.0,-1,5.0,-5.0
S0233,3.0,-1,-10.0,10.0
S0234,3.5,-1,0.0,0.0
S0235,3.5,-1,5.0,5.0
S0236,3.5,-1,10.0,10.0
S0237,3.5,-1,15.0,0.0
S0238,3.5,-1,20.0,5.0
S0239,3.5,-1,-5.0,-5.0
S0240,3.5,-1,5.0,-5.0
S0241,3.5,-1,-10.0,10.0
S0242,4.0,-1,0.0,0.0
S0243,4.0,-1,5.0,5.0
S0244,4.0,-1,10.0,10.0
S0245,4.0,-1,15.0,0.0
S0246,4.0,-1,20.0,5.0
S0247,4.0,-1,-5.0,-5.0
S0248,4.0,-1,5.0,-5.0
S0249,4.0,-1,-10.0,10.0
S0250,4.5,-1,0.0,0.0
S0251,4.5,-1,5.0,5.0
S0252,4.5,-1,10.0,10.0
S0253,4.5,-1,15.0,0.0
S0254,4.5,-1,20.0,5.0
S0255,4.5,-1,-5.0,-5.0
S0256,4.5,-1,5.0,-5.0
S0257,4.5,-1,-10.0,10.0
S0258,5.0,-1,0.0,0.0
S0259,5.0,-1,5.0,5.0
S0260,5.0,-1,10.0,10.0
S0261,5.0,-1,15.0,0.0
S0262,5.0,-1,20.0,5.0
S0263,5.0,-1,-5.0,-5.0
S0264,5.0,-1,5.0,-5.0
S0265,5.0,-1,-10.0,10.0
